,trip stations,# of trips
957,Beacon St at Massachusetts Ave - MIT at Mass Ave / Amherst St,17984
8465,MIT at Mass Ave / Amherst St - Beacon St at Massachusetts Ave,17394
7665,Linear Park - Mass. Ave. at Cameron Ave.  - Davis Square,11994
4119,Davis Square - Linear Park - Mass. Ave. at Cameron Ave. ,11157
8491,MIT at Mass Ave / Amherst St - Central Square at Mass Ave / Essex St,9079
2994,Central Square at Mass Ave / Essex St - MIT at Mass Ave / Amherst St,7637
8558,MIT at Mass Ave / Amherst St - MIT Stata Center at Vassar St / Main St,7549
7039,Kenmore Square - MIT at Mass Ave / Amherst St,7513
8391,MIT Vassar St - MIT Stata Center at Vassar St / Main St,7463
8548,MIT at Mass Ave / Amherst St - Kenmore Square,7344
