,start station name,# of trips
115,MIT at Mass Ave / Amherst St,174492
84,Harvard Square at Mass Ave/ Dunster,114709
42,Central Square at Mass Ave / Essex St,112664
113,MIT Stata Center at Vassar St / Main St,103308
6,Ames St at Main St,85699
104,Lafayette Square at Mass Ave / Main St / Columbia St,83298
131,One Kendall Square at Hampshire St / Portland St,76533
40,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,72253
95,Inman Square at Vellucci Plaza / Hampshire St,64874
130,One Broadway / Kendall Sq at Main St / 3rd St,58092
