,date,# of trips
0,2012-07-30,77
1,2012-07-31,146
2,2012-08-01,157
3,2012-08-02,231
4,2012-08-03,220
5,2012-08-04,433
6,2012-08-05,347
7,2012-08-06,339
8,2012-08-07,353
9,2012-08-08,378
10,2012-08-09,350
11,2012-08-10,279
12,2012-08-11,462
13,2012-08-12,458
14,2012-08-13,404
15,2012-08-14,462
16,2012-08-15,376
17,2012-08-16,495
18,2012-08-17,510
19,2012-08-18,372
20,2012-08-19,648
21,2012-08-20,542
22,2012-08-21,580
23,2012-08-22,590
24,2012-08-23,512
25,2012-08-24,576
26,2012-08-25,827
27,2012-08-26,684
28,2012-08-27,480
29,2012-08-28,453
30,2012-08-29,584
31,2012-08-30,625
32,2012-08-31,575
33,2012-09-01,796
34,2012-09-02,927
35,2012-09-03,817
36,2012-09-04,376
37,2012-09-05,510
38,2012-09-06,656
39,2012-09-07,636
40,2012-09-08,628
41,2012-09-09,642
42,2012-09-10,689
43,2012-09-11,711
44,2012-09-12,772
45,2012-09-13,844
46,2012-09-14,936
47,2012-09-15,957
48,2012-09-16,899
49,2012-09-17,740
50,2012-09-18,678
51,2012-09-19,803
52,2012-09-20,843
53,2012-09-21,760
54,2012-09-22,930
55,2012-09-23,875
56,2012-09-24,754
57,2012-09-25,840
58,2012-09-26,786
59,2012-09-27,829
60,2012-09-28,283
61,2012-09-29,564
62,2012-09-30,415
63,2012-10-01,740
64,2012-10-02,666
65,2012-10-03,690
66,2012-10-04,699
67,2012-10-05,1063
68,2012-10-06,929
69,2012-10-07,712
70,2012-10-08,664
71,2012-10-09,738
72,2012-10-10,533
73,2012-10-11,840
74,2012-10-12,644
75,2012-10-13,682
76,2012-10-14,497
77,2012-10-15,825
78,2012-10-16,743
79,2012-10-17,806
80,2012-10-18,948
81,2012-10-19,678
82,2012-10-20,1363
83,2012-10-21,1080
84,2012-10-22,863
85,2012-10-23,882
86,2012-10-24,815
87,2012-10-25,919
88,2012-10-26,1047
89,2012-10-27,913
90,2012-10-28,396
